id,product_id,name,value,price_modifier,stock,sku
8550785f-4cb0-4ecf-b354-5ff758c66356,c1ed92db-8c01-4994-85ab-09100f933089,weight,2mg,0.00,0,
8779498d-89f4-4bd2-bfc8-faedb43f9d51,7afcbfea-5fe0-42df-b004-93a6cbf236a4,Weight,"5mg, 10mg",0.00,0,
88983461-4faa-4d67-b625-70829ad3ee1f,2972a30d-9808-439e-9a6b-dfddca869121,Strength,12 IU × 10 vials,10.00,100,HGH191AASOMATROPIN-12IU10VIALS
894b23e3-5d66-4f00-9965-151ead27b492,dbb0eaa3-9064-401a-8dbb-02054e7bec4a,Weight,10mg,0.00,0,
8a45d09c-529e-4874-9fe5-7bd3fbf8121e,e11880bf-9d98-4846-8484-3fa5856ce278,Weight,5/50/2mg,0.00,0,
8ae237c1-c106-49f7-b660-b7cd13d4557f,381d2c9e-959e-427d-ba4d-9a54fcdba0db,Strength,10000 IU × 10 vials,70.00,100,HCG-10000IU10VIALS
8ba830a7-ab52-46f6-906e-3f6b171f3c4b,73b873d1-635b-44bc-905f-744b22c1dce5,Dosage,60mg × 6 vials,10.00,100,
8c1d1c27-a8d7-4306-8fd8-cfc2341dec4b,9d1b132c-5048-42b5-af48-b7bf30d713eb,Dosage,5mg × 10 vials,51.00,100,
8c9fe093-7f68-424d-a864-9616bf73b629,7b6abe98-6a0f-498a-b61e-b41f9ececf4b,Weight,"5mg, 10mg",0.00,0,
8deca3b6-53bd-42cc-98e2-9a01e5cccea3,2e521bde-aabf-4937-958e-4a511ea88756,Dosage,50mg × 10 vials,0.00,100,
8e2072ae-9a7e-41ac-a845-627767f3c71c,997286a1-2212-4de6-ba18-6c53c38c9d9b,Weight,2mg,0.00,0,
8f101fd5-c279-4105-ac70-42c9d295100d,73b873d1-635b-44bc-905f-744b22c1dce5,Dosage,30mg × 6 vials,0.00,100,
8f493068-51d1-4f07-bb5f-16fafb89da37,305e1ef4-136a-40c8-8a7d-67b6dedabfba,volume,10 ml,0.00,0,
90996082-a9f3-41f7-9529-cfdbd34e120d,7a948b8c-62ad-47b8-b51e-b9b436dee5ff,weight,500mg/cap,0.00,0,
94495eb4-ab23-4da5-a846-aa9288999d54,ff547b4c-ea9e-42f5-8267-a83142ad8d5d,Dosage,1mg × 10 vials,150.00,100,
94e2ae33-f056-4fb5-a507-f2de59eddfc2,a8c4f9d7-4ee5-437a-9d43-07781025f9d5,weight,"5mg, 10mg",0.00,0,
951cc5d3-c774-4943-bcf5-c92d70514324,210ebddb-3b3d-49b0-a5f3-79b20cd51546,weight,10/10mg,0.00,0,
96563ee3-959d-4ee2-a040-06b44833e04e,ad15fdb9-4a86-41de-a6c3-b9d7b318b299,Weight,5mg,0.00,0,
9691213f-505f-4e7d-9ed2-8734d832325a,7b6abe98-6a0f-498a-b61e-b41f9ececf4b,Weight,5mg,0.00,0,
96aa806f-955b-4842-a01d-74369807b494,d6ad9071-13bb-46dc-aa1e-63f8d12dee32,Strength,10mg × 10 vials,0.00,100,CJC1295WITHOUTDACIPA5MG-10MG10VIALS
970b993c-6607-45d7-b42b-b66d9169ee66,b76f2f34-a280-46fc-a2b3-190245e35ac0,Dosage,10mg × 10 vials,0.00,100,
985232a4-73a0-47e9-96ad-58d6c16ab329,7d0c511e-b5bf-44f5-8c59-8e65d09ac1f0,weight,10mg,0.00,0,
996d6008-ae5c-4b4c-8f4e-63a73b4f0ace,58146650-99d8-4088-b1d2-e07b538d3fec,Strength,WA10,5.00,100,BACWATER-WA10
9bcd3264-5fde-4dd1-9328-3e045f47e6f8,46272bb6-3da3-4e7e-a61d-8c7b0fe5bd4f,Dosage,40mg × 10 vials,80.00,100,
9d0827df-8f05-425f-813e-30a7c632469c,704d07c1-e832-41a7-a6b4-57ec8c308ce8,Dosage,5mg × 10 vials,0.00,100,
9ee66acd-53de-47c2-8705-8db0d8f84b2e,a4a40123-48fb-49fc-b6de-8a58eea0f688,Strength,10mg × 10 vials,31.00,100,RET-10MG-10V
a0023009-f979-4803-9998-a2c35409ed29,fac477ec-1831-41e2-a5dc-3ad5fb5f0286,Dosage,30mg × 10 vials,76.00,100,
a0c470f9-5383-4c32-a5b8-3dcc5f15fcad,1cf07a42-1d3d-4746-b497-18ec5e405530,Weight,"5mg, 10mg",0.00,0,
a1d6bb04-639f-4d7c-8785-1fe4df3de954,ce1672ba-ad97-4bb1-80e0-a224422905f6,Weight,5/5mg,0.00,0,
a36744d3-5d28-4e77-9326-bba5d29d35e0,485715f8-9291-473f-accd-f94f68528c61,Strength,10mg × 10 vials,15.00,100,KISSPEPTIN10-10MG10VIALS
a46238e6-9b60-4b0f-90c0-c0cea3cce376,963b2f48-f801-4690-b931-5cad40cb15ed,Weight,"5mg, 10mg",0.00,0,
a4c0e6a3-72bf-4f9f-91ad-7bec0a60038f,60630d03-6ef4-4dcf-aebb-6d7d64d81b2e,weight,20mg,0.00,0,
a4c4441f-3d2d-469a-88f4-fa319e6915dd,8930d87c-b948-466f-a75e-fac7eb7c957f,weight,"10mg, 20mg",0.00,0,
a5edbd56-6a3d-47ae-98c2-d84804279112,cb94eec1-7fd3-41f7-ab49-129efca98bbe,Weight,5mg,0.00,0,
a605d5b9-3964-4d9b-8e14-e0878f0bdac8,f2551b53-5073-43d1-8eed-33c76e127d65,Dosage,10mg × 10 vials,0.00,100,
a67ddd84-3164-46f2-b884-175013faec75,8697cfe5-41f0-4321-9c6b-7ec731c03702,Dosage,20mg × 10 vials,55.00,100,
a6f5dc69-8dc2-42e9-bb2a-038931d12be7,9d1b132c-5048-42b5-af48-b7bf30d713eb,Dosage,20mg × 10 vials,211.00,100,
a8feb164-1ffb-4166-ac32-da15d668a479,02ab2421-436f-434d-b8c6-0db912c3c0b0,Weight,30mg,0.00,0,
a92e6d50-46a0-4e0b-96a2-1b2f023d7e22,18302a9e-c403-4c3f-bea2-43ece4346cd0,Strength,10mg × 10 vials,30.00,100,TB500-10MG10V
aa8df3a9-e273-4936-bbf6-52096186e8ba,a9d76e10-b9b5-4ae8-9fd8-059d51703037,weight,10mg,0.00,0,
